"primary","house","street","city","state","zipcode","block","lot","parcel","locationType","notes"
"False","918","Railroad Avenue","Tallahassee","FL","32310","","","","",""
"True","755","Rustling Pines Blvd","Midway","FL","32343","","","","",""
"True","3230","Almanac Road","Tallahassee","FL","","","","","",""
"True","96","Slash Pine Dr.","Crawfordville","FL","32327","","","","",""
"False","627","Nocatee Rd.","Tallahassee","FL","32305","","","","",""
"False","","Old Federal Rd","Quincy","FL","32351","","","","",""
"True","1520","Killearn Center Blvd.","Tallahassee","FL","32309","","","","",""
"True","8233","Queen Anna Dr","Tallahassee","FL","32317","","","","",""
"True","6413","Cavalcade","Tallahassee","FL","32309","","","","",""
"False","","Turkey Roost Rd","Tallahassee","FL","32317","","","","",""
"False","3056","Dickenson Dr.","Tallahassee","FL","32311","","","","",""
"True","6503","Saylers Creek Ct.","Tallahassee","FL","32309","","","","",""
"False","6503","Saylers Creek Ct.","Tallahassee","FL","32309","","","","",""
"False","1432","Oaklands Plantation rd","Monticello","FL","32344","","","","",""
"True","3529","Trillion Ct","Tallahassee","FL","32312","","","","",""
"True","724","Greenleaf Dr.","Tallahassee","FL","32305","","","","",""
"True","6753","Allen-A-Dale Trl","Tallahassee","FL","32309","","","","",""
"False","3320","Gallant Fox TrailT","Tallahassee","FL","32309","","","","",""
"False","","evergreen hills ct","Tallahassee","FL","32305","","","","",""
"True","5105","Chambord Drive","Tallahassee","FL","32308","","","","",""
"False","4736","Maylor Rd","Tallahassee","FL","32308","","","","",""
"False","6775","Cir J Dr.","Tallahassee","FL","32312","","","","",""
"True","732","Sir Richard Rd","Tallahassee","FL","32310","","","","",""
"False","404","Bell Rd","Havana","FL","32333","","","","",""
"False","66","Deer Creek","Tallahassee","FL","32333","","","","",""
"False","22","Noah Ct","Crawfordville","FL","32327","","","","",""
"True","76","Edgewood Dr.","Crawfordville","FL","32327","","","","",""
"True","460","Mount Pleasant Rd.","Gretna","FL","32352","","","","",""
"True","3201","Gallant Fox Trail","Tallahassee","FL","32309","","","","",""
"True","1149","Corby Ct.","Tallahassee","FL","32317","","","","",""
"True","7754","McClure Dr.","Tallahassee","FL","32312","","","","",""
"True","3019","Whirlaway Trl.","Tallahassee","FL","32308","","","","",""
"True","16842","Blountstown Hwy","Tallahassee","FL","32310","","","","",""
"True","1486","Ferzon Way","Tallahassee","FL","32312","","","","",""
"True","2976","Kemp Rd.","Havana","FL","32333","","","","",""
"True","789","Natural Bridge Rd.","Monticello","FL","32344","","","","",""
"True","393","Castleton Cir.","Tallahassee","FL","32312","","","","",""
